nu,idFile,number,states/code,states/name,states/nu,states/forbidden/into/bool/v,states/forbidden/into/bool/uv,states/forbidden/into/comment/en,states/forbidden/into/comment/en.1,states/forbidden/into/comment/en.2,states/forbidden/into/comment/en.3,states/quara/into/where/e,states/quara/into/where/v,states/quara/into/where/uv,states/quara/into/dur/e,states/quara/into/dur/v,states/quara/into/dur/uv,states/quara/into/comment/en,states/quara/into/comment/de,states/quara/into/comment/fr,states/quara/into/comment/es,states/test/into/pcr/e,states/test/into/pcr/v,states/test/into/pcr/uv,states/test/into/or,states/test/into/ag/e,states/test/into/ag/v,states/test/into/ag/uv,states/test/into/comment/en,states/test/into/comment/de,states/test/into/comment/fr,states/test/into/comment/es,states/link/into,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
DZ,DZ_States,76,28,Msila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,77,26,Médéa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,78,45,Naama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,79,31,Oran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,80,30,Ouargla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,81,4,Oum el Bouaghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,82,48,Relizane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,83,20,Saïda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,84,22,Sidi Bel Abbès,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,85,21,Skikda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,86,41,Souk Ahras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,87,19,Sétif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,88,11,Tamanghasset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,89,14,Tiaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,90,37,Tindouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
